date,price,term
2018-10-30,240.78965759277344,term1
2018-10-31,243.3615264892578,term1
2018-11-01,245.95135498046875,term1
2018-11-02,244.49452209472656,term1
2018-11-05,245.8433837890625,term1
2018-11-06,247.39920043945312,term1
2018-11-07,252.69558715820312,term1
2018-11-08,252.237060546875,term1
2018-11-09,249.7731170654297,term1
2018-11-12,245.10606384277344,term1
2018-11-13,244.64739990234375,term1
2018-11-14,242.974853515625,term1
2018-11-15,245.51068115234375,term1
2018-11-16,246.14913940429688,term1
2018-11-19,241.98565673828125,term1
2018-11-20,237.50747680664062,term1
2018-11-21,238.3167266845703,term1
2018-11-23,236.72511291503906,term1
2018-11-26,240.54684448242188,term1
2018-11-27,241.3561553955078,term1
2018-11-28,246.91354370117188,term1
2018-11-29,246.37400817871094,term1
2018-11-30,247.875732421875,term1
2018-12-03,251.15794372558594,term1
2018-12-04,243.01976013183594,term1
2018-12-06,242.65109252929688,term1
2018-12-07,237.0128936767578,term1
2018-12-10,237.46253967285156,term1
2018-12-11,237.5165252685547,term1
2018-12-12,238.7123565673828,term1
2018-12-13,238.63153076171875,term1
2018-12-14,234.22525024414062,term1
2018-12-17,229.6300811767578,term1
2018-12-18,229.37832641601562,term1
2018-12-19,225.94320678710938,term1
2018-12-20,222.26531982421875,term1
2018-12-21,217.71121215820312,term1
2018-12-24,211.95863342285156,term1
2018-12-26,222.6678009033203,term1
2018-12-27,224.37734985351562,term1
2018-12-28,224.08786010742188,term1
2018-12-31,226.05056762695312,term1
2019-01-02,226.28578186035156,term1
2019-01-03,220.88600158691406,term1
2019-01-04,228.2847137451172,term1
2019-01-07,230.08465576171875,term1
2019-01-08,232.2464141845703,term1
2019-01-09,233.33177185058594,term1
2019-01-10,234.15484619140625,term1
2019-01-11,234.2453155517578,term1
2019-01-14,232.8162384033203,term1
2019-01-15,235.4844970703125,term1
2019-01-16,236.05433654785156,term1
2019-01-17,237.84519958496094,term1
2019-01-18,241.01092529296875,term1
2019-01-22,237.75474548339844,term1
2019-01-23,238.25222778320312,term1
2019-01-24,238.3788604736328,term1
2019-01-25,240.3958740234375,term1
