day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2017-09-23,1,10,2,13,0.15384615384615385,0.07692307692307693,0.7692307692307693
2017-09-24,0,7,4,11,0.36363636363636365,0.0,0.6363636363636364
2017-09-25,1,6,1,8,0.125,0.125,0.75
2017-09-26,2,14,5,21,0.23809523809523808,0.09523809523809523,0.6666666666666666
2017-09-27,0,6,6,12,0.5,0.0,0.5
2017-09-28,1,4,3,8,0.375,0.125,0.5
2017-09-29,2,5,5,12,0.4166666666666667,0.16666666666666666,0.4166666666666667
2017-09-30,2,15,15,32,0.46875,0.0625,0.46875
2017-10-01,1,3,4,8,0.5,0.125,0.375
2017-10-02,0,1,1,2,0.5,0.0,0.5
2017-10-03,0,1,3,4,0.75,0.0,0.25
2017-10-04,0,9,4,13,0.3076923076923077,0.0,0.6923076923076923
2017-10-05,1,8,1,10,0.1,0.1,0.8
2017-10-06,0,3,0,3,0.0,0.0,1.0
2017-10-07,1,6,5,12,0.4166666666666667,0.08333333333333333,0.5
2017-10-08,1,7,2,10,0.2,0.1,0.7
2017-10-09,1,2,0,3,0.0,0.3333333333333333,0.6666666666666666
2017-10-10,1,6,3,10,0.3,0.1,0.6
2017-10-11,0,10,5,15,0.3333333333333333,0.0,0.6666666666666666
2017-10-12,1,8,3,12,0.25,0.08333333333333333,0.6666666666666666
2017-10-13,2,6,4,12,0.3333333333333333,0.16666666666666666,0.5
2017-10-14,3,7,4,14,0.2857142857142857,0.21428571428571427,0.5
2017-10-15,0,2,0,2,0.0,0.0,1.0
2017-10-16,0,5,4,9,0.4444444444444444,0.0,0.5555555555555556
2017-10-17,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666
2017-10-18,1,13,3,17,0.17647058823529413,0.058823529411764705,0.7647058823529411
2017-10-19,1,5,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
2017-10-20,0,7,4,11,0.36363636363636365,0.0,0.6363636363636364
2017-10-21,2,10,0,12,0.0,0.16666666666666666,0.8333333333333334
2017-10-22,0,4,1,5,0.2,0.0,0.8
2017-10-23,1,1,2,4,0.5,0.25,0.25
2017-10-24,1,5,2,8,0.25,0.125,0.625
2017-10-25,1,8,4,13,0.3076923076923077,0.07692307692307693,0.6153846153846154
2017-10-26,2,5,4,11,0.36363636363636365,0.18181818181818182,0.45454545454545453
2017-10-27,0,7,8,15,0.5333333333333333,0.0,0.4666666666666667
2017-10-28,0,8,2,10,0.2,0.0,0.8
2017-10-29,1,5,0,6,0.0,0.16666666666666666,0.8333333333333334
2017-10-30,1,2,1,4,0.25,0.25,0.5
2017-10-31,2,12,1,15,0.06666666666666667,0.13333333333333333,0.8
2017-11-01,3,10,1,14,0.07142857142857142,0.21428571428571427,0.7142857142857143
2017-11-02,2,9,3,14,0.21428571428571427,0.14285714285714285,0.6428571428571429
2017-11-03,2,15,3,20,0.15,0.1,0.75
2017-11-04,0,3,2,5,0.4,0.0,0.6
2017-11-05,0,3,3,6,0.5,0.0,0.5
2017-11-06,2,1,3,6,0.5,0.3333333333333333,0.16666666666666666
2017-11-07,1,5,4,10,0.4,0.1,0.5
2017-11-08,2,7,3,12,0.25,0.16666666666666666,0.5833333333333334
2017-11-09,0,1,3,4,0.75,0.0,0.25
2017-11-10,0,2,7,9,0.7777777777777778,0.0,0.2222222222222222
2017-11-11,0,2,2,4,0.5,0.0,0.5
2017-11-12,0,6,2,8,0.25,0.0,0.75
2017-11-13,0,0,4,4,1.0,0.0,0.0
2017-11-14,0,3,5,8,0.625,0.0,0.375
2017-11-15,2,5,8,15,0.5333333333333333,0.13333333333333333,0.3333333333333333
2017-11-16,1,5,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
2017-11-17,1,4,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
2017-11-18,0,3,1,4,0.25,0.0,0.75
2017-11-19,0,4,0,4,0.0,0.0,1.0
2017-11-20,1,3,0,4,0.0,0.25,0.75
2017-11-21,0,1,1,2,0.5,0.0,0.5
2017-11-22,0,9,2,11,0.18181818181818182,0.0,0.8181818181818182
2017-11-23,1,2,5,8,0.625,0.125,0.25
2017-11-24,0,7,3,10,0.3,0.0,0.7
2017-11-25,2,2,1,5,0.2,0.4,0.4
2017-11-26,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-11-27,2,0,2,4,0.5,0.5,0.0
2017-11-28,1,8,6,15,0.4,0.06666666666666667,0.5333333333333333
2017-11-29,0,11,8,19,0.42105263157894735,0.0,0.5789473684210527
2017-11-30,2,7,6,15,0.4,0.13333333333333333,0.4666666666666667
2017-12-01,1,5,3,9,0.3333333333333333,0.1111111111111111,0.5555555555555556
2017-12-02,0,4,0,4,0.0,0.0,1.0
2017-12-03,2,9,3,14,0.21428571428571427,0.14285714285714285,0.6428571428571429
2017-12-04,0,2,2,4,0.5,0.0,0.5
2017-12-05,0,2,0,2,0.0,0.0,1.0
2017-12-06,0,3,2,5,0.4,0.0,0.6
2017-12-07,0,7,1,8,0.125,0.0,0.875
2017-12-08,2,3,3,8,0.375,0.25,0.375
2017-12-09,1,9,4,14,0.2857142857142857,0.07142857142857142,0.6428571428571429
2017-12-10,0,2,2,4,0.5,0.0,0.5
2017-12-11,0,1,0,1,0.0,0.0,1.0
2017-12-12,1,2,2,5,0.4,0.2,0.4
2017-12-13,1,2,2,5,0.4,0.2,0.4
2017-12-14,0,3,4,7,0.5714285714285714,0.0,0.42857142857142855
2017-12-15,0,2,2,4,0.5,0.0,0.5
2017-12-16,0,4,4,8,0.5,0.0,0.5
2017-12-17,0,2,0,2,0.0,0.0,1.0
2017-12-18,0,9,4,13,0.3076923076923077,0.0,0.6923076923076923
2017-12-19,0,2,3,5,0.6,0.0,0.4
2017-12-20,0,2,4,6,0.6666666666666666,0.0,0.3333333333333333
2017-12-21,0,2,3,5,0.6,0.0,0.4
2017-12-22,0,7,4,11,0.36363636363636365,0.0,0.6363636363636364
2017-12-23,1,4,0,5,0.0,0.2,0.8
2017-12-24,0,2,2,4,0.5,0.0,0.5
2017-12-25,0,3,2,5,0.4,0.0,0.6
2017-12-26,0,1,2,3,0.6666666666666666,0.0,0.3333333333333333
2017-12-27,0,2,0,2,0.0,0.0,1.0
2017-12-28,2,6,2,10,0.2,0.2,0.6
2017-12-29,1,7,0,8,0.0,0.125,0.875
2017-12-30,1,3,2,6,0.3333333333333333,0.16666666666666666,0.5
2017-12-31,2,3,4,9,0.4444444444444444,0.2222222222222222,0.3333333333333333
2018-01-01,2,0,1,3,0.3333333333333333,0.6666666666666666,0.0
2018-01-02,2,6,5,13,0.38461538461538464,0.15384615384615385,0.46153846153846156
2018-01-03,0,2,2,4,0.5,0.0,0.5
2018-01-04,2,5,3,10,0.3,0.2,0.5
2018-01-05,0,3,3,6,0.5,0.0,0.5
2018-01-06,0,4,3,7,0.42857142857142855,0.0,0.5714285714285714
2018-01-07,0,4,1,5,0.2,0.0,0.8
2018-01-08,2,4,1,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
2018-01-09,0,2,3,5,0.6,0.0,0.4
2018-01-10,0,7,3,10,0.3,0.0,0.7
2018-01-11,0,5,3,8,0.375,0.0,0.625
2018-01-12,3,8,3,14,0.21428571428571427,0.21428571428571427,0.5714285714285714
2018-01-13,1,3,2,6,0.3333333333333333,0.16666666666666666,0.5
2018-01-14,0,7,3,10,0.3,0.0,0.7
2018-01-15,1,2,1,4,0.25,0.25,0.5
2018-01-16,3,9,4,16,0.25,0.1875,0.5625
2018-01-17,0,1,4,5,0.8,0.0,0.2
2018-01-18,1,6,5,12,0.4166666666666667,0.08333333333333333,0.5
2018-01-19,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666
2018-01-20,1,2,5,8,0.625,0.125,0.25
2018-01-21,1,6,2,9,0.2222222222222222,0.1111111111111111,0.6666666666666666
2018-01-22,0,2,2,4,0.5,0.0,0.5
2018-01-23,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666
2018-01-24,0,3,2,5,0.4,0.0,0.6
2018-01-25,0,1,3,4,0.75,0.0,0.25
2018-01-26,1,3,3,7,0.42857142857142855,0.14285714285714285,0.42857142857142855
2018-01-27,0,1,2,3,0.6666666666666666,0.0,0.3333333333333333
2018-01-28,0,3,1,4,0.25,0.0,0.75
